municipio_ibge,soma,contagem
3550308,175420.0,56
3550407,1200.0,1
3550605,3000.0,1
3551009,12300.0,6
3551504,3000.0,1
3552205,14400.0,6
3552403,1200.0,1
3552502,30600.0,8
3553955,600.0,1
3554003,3000.0,1
3554102,5960.0,4
3556008,1200.0,1
3556107,1200.0,1
3556206,3000.0,1
3556305,3000.0,1
3556453,3000.0,1
3556503,3000.0,1
4100301,3000.0,1
4100806,3300.0,1
4101507,10800.0,2
4102802,4200.0,1
4104808,6000.0,2
4105201,3600.0,1
4105904,3000.0,1
4106605,1200.0,1
4106902,19800.0,7
4107652,5400.0,3
4108304,2400.0,1
4109401,3000.0,1
4109807,2100.0,2
4109906,3000.0,1
4110706,1800.0,1
4113205,3000.0,1
4113304,3000.0,1
4113452,1200.0,1
4113700,8400.0,4
4115200,3000.0,1
4115804,3000.0,1
4116703,3000.0,1
4117206,1200.0,1
4117909,600.0,1
4118204,3000.0,1
4118402,900.0,1
4119152,3000.0,1
4119905,4200.0,1
4122404,6000.0,2
4124103,3600.0,1
4125407,3000.0,1
4125506,6000.0,2
4126009,4200.0,1
4126256,3000.0,1
4128104,4800.0,2
4201505,3000.0,1
4202008,3000.0,1
4202073,3000.0,1
4204202,1200.0,1
4204608,2400.0,2
4205407,11700.0,5
4208203,8400.0,2
4208450,4200.0,1
4209102,14400.0,3
4209300,6000.0,2
4209409,3000.0,1
4211306,3000.0,1
4211900,600.0,1
4212809,3000.0,1
4213807,3000.0,1
4216206,4200.0,1
4216602,3600.0,2
4217600,3000.0,1
4220000,4200.0,1
4300604,7800.0,4
4301602,9300.0,4
4303004,300.0,1
4303103,8400.0,2
4303905,900.0,1
4304358,3000.0,1
4304606,11700.0,6
4304705,3000.0,1
4305108,8400.0,4
4306056,4200.0,1
4306106,600.0,1
4306205,300.0,1
4306809,600.0,1
4307708,900.0,1
4309100,3000.0,1
4309209,9600.0,3
4309654,7800.0,2
4310603,1200.0,1
4311205,300.0,1
4311403,7200.0,3
4311718,3000.0,1
4312401,4200.0,1
4313300,3000.0,1
4313409,2400.0,1
4313508,1200.0,1
4314100,1200.0,1
4314407,5700.0,4
4314902,57300.0,19
4315602,18600.0,7
4315701,3300.0,1
4316808,600.0,1
4316907,7200.0,2
4317103,3600.0,2
4318408,1200.0,1
4318705,3000.0,1
4320008,5100.0,2
4320800,1200.0,1
4321204,4200.0,1
4321303,3600.0,1
4321501,1800.0,1
4321600,1200.0,1
4321956,1200.0,1
4322202,900.0,1
4322327,1200.0,1
4322400,3000.0,1
4322509,900.0,1
4323002,7200.0,2
5002704,29700.0,10
5003207,3600.0,1
5003306,4200.0,1
5003702,300.0,1
5004007,3900.0,2
5005202,3000.0,1
5005400,3000.0,1
5005681,2700.0,2
5006002,8700.0,2
5007695,3000.0,1
5101407,3000.0,1
5101803,12600.0,3
5102504,9600.0,3
5102678,3000.0,1
5102702,3000.0,1
5103353,4200.0,1
5103403,8700.0,5
5103437,1200.0,1
5103700,3000.0,1
5105259,3000.0,1
5105622,3600.0,1
5105903,3000.0,1
5106505,4800.0,2
5106752,5400.0,2
5107040,1200.0,1
5107065,4200.0,1
5107180,8400.0,1
5107602,3000.0,1
5107743,4200.0,1
5107909,8400.0,2
5107958,4200.0,1
5108402,8400.0,1
5201405,18900.0,6
5201454,3000.0,1
5202502,1800.0,1
5203939,4200.0,1
5205109,3000.0,1
5205455,3000.0,1
5205497,1200.0,1
5208707,44400.0,18
5208806,600.0,1
5208905,3000.0,1
5211503,4800.0,1
5211800,4200.0,1
