date,municipio_ibge,suicidios,obitos_totais,taxa_suicidio
2019-01-01,2908002,1,14,0.07142857142857142
2019-01-01,2908507,1,17,0.058823529411764705
2019-01-01,2908903,1,9,0.1111111111111111
2019-01-01,2909208,1,6,0.16666666666666666
2019-01-01,2909604,1,16,0.0625
2019-01-01,2911709,3,50,0.06
2019-01-01,2914802,2,120,0.016666666666666666
2019-01-01,2915106,1,15,0.06666666666666667
2019-01-01,2916500,1,15,0.06666666666666667
2019-01-01,2917508,2,48,0.041666666666666664
2019-01-01,2918357,1,15,0.06666666666666667
2019-01-01,2920106,1,16,0.0625
2019-01-01,2921807,1,6,0.16666666666666666
2019-01-01,2922052,1,13,0.07692307692307693
2019-01-01,2923704,1,22,0.045454545454545456
2019-01-01,2924009,1,51,0.0196078431372549
2019-01-01,2924405,1,13,0.07692307692307693
2019-01-01,2925105,1,33,0.030303030303030304
2019-01-01,2926806,1,5,0.2
2019-01-01,2927200,1,24,0.041666666666666664
2019-01-01,2927408,11,1348,0.008160237388724036
2019-01-01,2928059,1,8,0.125
2019-01-01,2928109,1,18,0.05555555555555555
2019-01-01,2928208,1,12,0.08333333333333333
2019-01-01,2928406,2,16,0.125
2019-01-01,2930105,1,57,0.017543859649122806
2019-01-01,2930501,1,44,0.022727272727272728
2019-01-01,2931806,1,13,0.07692307692307693
2019-01-01,2932804,1,10,0.1
2019-01-01,2933307,1,153,0.006535947712418301
2019-01-01,3100906,1,11,0.09090909090909091
2019-01-01,3101607,1,40,0.025
2019-01-01,3103504,1,58,0.017241379310344827
2019-01-01,3104007,2,65,0.03076923076923077
2019-01-01,3104205,1,22,0.045454545454545456
2019-01-01,3104304,1,8,0.125
2019-01-01,3105509,1,5,0.2
2019-01-01,3105608,1,77,0.012987012987012988
2019-01-01,3106200,8,1348,0.005934718100890208
2019-01-01,3106705,5,187,0.026737967914438502
2019-01-01,3107109,1,34,0.029411764705882353
2019-01-01,3107703,1,3,0.3333333333333333
2019-01-01,3107802,2,12,0.16666666666666666
2019-01-01,3108602,1,18,0.05555555555555555
2019-01-01,3110707,1,3,0.3333333333333333
2019-01-01,3111101,1,9,0.1111111111111111
2019-01-01,3111200,1,34,0.029411764705882353
2019-01-01,3111606,1,16,0.0625
2019-01-01,3111903,1,7,0.14285714285714285
2019-01-01,3112000,1,15,0.06666666666666667
2019-01-01,3112307,1,20,0.05
2019-01-01,3113008,1,11,0.09090909090909091
2019-01-01,3113404,1,52,0.019230769230769232
2019-01-01,3114303,1,20,0.05
2019-01-01,3114402,1,17,0.058823529411764705
2019-01-01,3114501,1,9,0.1111111111111111
2019-01-01,3115300,1,57,0.017543859649122806
2019-01-01,3117504,1,15,0.06666666666666667
2019-01-01,3118007,1,25,0.04
2019-01-01,3118304,1,51,0.0196078431372549
2019-01-01,3118601,2,285,0.007017543859649123
2019-01-01,3119500,1,5,0.2
2019-01-01,3120870,1,2,0.5
2019-01-01,3120904,1,61,0.01639344262295082
2019-01-01,3121605,1,20,0.05
2019-01-01,3122306,1,113,0.008849557522123894
2019-01-01,3123007,1,9,0.1111111111111111
2019-01-01,3124104,1,30,0.03333333333333333
2019-01-01,3125705,1,11,0.09090909090909091
2019-01-01,3126109,2,55,0.03636363636363636
2019-01-01,3126752,1,1,1.0
2019-01-01,3127701,2,176,0.011363636363636364
2019-01-01,3130507,2,8,0.25
2019-01-01,3131406,1,3,0.3333333333333333
2019-01-01,3131901,1,34,0.029411764705882353
2019-01-01,3132404,1,48,0.020833333333333332
2019-01-01,3133006,1,7,0.14285714285714285
2019-01-01,3133204,1,11,0.09090909090909091
2019-01-01,3133808,2,67,0.029850746268656716
2019-01-01,3135100,1,32,0.03125
2019-01-01,3136306,1,32,0.03125
2019-01-01,3136702,4,320,0.0125
2019-01-01,3137502,1,15,0.06666666666666667
2019-01-01,3137536,3,7,0.42857142857142855
2019-01-01,3137908,1,5,0.2
2019-01-01,3138203,1,56,0.017857142857142856
2019-01-01,3138708,1,2,0.5
2019-01-01,3139508,1,17,0.058823529411764705
2019-01-01,3140704,1,19,0.05263157894736842
2019-01-01,3141108,1,25,0.04
2019-01-01,3142403,1,7,0.14285714285714285
2019-01-01,3142601,1,5,0.2
2019-01-01,3143005,1,6,0.16666666666666666
2019-01-01,3143302,1,156,0.00641025641025641
2019-01-01,3143401,1,10,0.1
2019-01-01,3143906,2,69,0.028985507246376812
2019-01-01,3144102,2,16,0.125
2019-01-01,3144375,1,5,0.2
2019-01-01,3145000,1,6,0.16666666666666666
2019-01-01,3145208,1,27,0.037037037037037035
2019-01-01,3145604,2,28,0.07142857142857142
2019-01-01,3146909,1,12,0.08333333333333333
2019-01-01,3147006,2,40,0.05
2019-01-01,3147105,1,53,0.018867924528301886
2019-01-01,3147303,1,10,0.1
2019-01-01,3147907,1,76,0.013157894736842105
2019-01-01,3147956,1,5,0.2
2019-01-01,3148004,5,91,0.054945054945054944
2019-01-01,3149200,1,5,0.2
2019-01-01,3149804,1,10,0.1
2019-01-01,3149903,1,7,0.14285714285714285
2019-01-01,3150505,2,8,0.25
2019-01-01,3151206,1,29,0.034482758620689655
2019-01-01,3151305,1,4,0.25
2019-01-01,3151800,1,97,0.010309278350515464
2019-01-01,3152402,1,14,0.07142857142857142
2019-01-01,3152501,2,66,0.030303030303030304
2019-01-01,3153400,2,11,0.18181818181818182
2019-01-01,3154002,1,13,0.07692307692307693
2019-01-01,3154200,1,6,0.16666666666666666
2019-01-01,3154606,1,141,0.0070921985815602835
2019-01-01,3154804,1,6,0.16666666666666666
2019-01-01,3155504,1,10,0.1
2019-01-01,3155900,1,3,0.3333333333333333
2019-01-01,3156403,1,3,0.3333333333333333
2019-01-01,3157005,1,19,0.05263157894736842
2019-01-01,3157807,1,111,0.009009009009009009
2019-01-01,3158003,1,7,0.14285714285714285
2019-01-01,3161502,1,6,0.16666666666666666
2019-01-01,3162005,1,12,0.08333333333333333
2019-01-01,3163706,2,25,0.08
2019-01-01,3164100,1,6,0.16666666666666666
2019-01-01,3165909,1,2,0.5
2019-01-01,3167202,3,120,0.025
2019-01-01,3168002,2,18,0.1111111111111111
2019-01-01,3168804,1,5,0.2
2019-01-01,3169000,1,8,0.125
2019-01-01,3169356,1,17,0.058823529411764705
2019-01-01,3169901,2,55,0.03636363636363636
2019-01-01,3170206,5,327,0.01529051987767584
2019-01-01,3170404,1,42,0.023809523809523808
2019-01-01,3170701,1,94,0.010638297872340425
