municipio_ibge,soma,contagem
2504603,10562.0,8
2504801,9000.0,4
2505709,1200.0,1
2505808,1800.0,1
2506004,4200.0,2
2506301,6300.0,4
2506400,6331.0,5
2506608,1800.0,1
2506905,3000.0,1
2507002,3600.0,2
2507101,1022.0,1
2507200,6000.0,1
2507309,6000.0,2
2507408,10200.0,4
2507507,363669.0,166
2507606,6129.0,3
2507705,5174.0,2
2508307,2270.0,3
2508505,3000.0,1
2508703,3000.0,1
2508901,811.0,1
2509057,1200.0,1
2509107,1200.0,1
2509156,4953.0,1
2509206,4800.0,2
2509701,3000.0,1
2509800,1200.0,1
2510204,600.0,1
2510808,12811.0,6
2510907,1200.0,1
2511301,3000.0,1
2511806,3000.0,1
2511905,1450.0,1
2512002,8400.0,3
2512101,1531.0,1
2512507,4800.0,3
2512754,1503.0,1
2512762,1620.0,1
2512804,1200.0,1
2513703,50487.0,31
2513802,9000.0,2
2513851,4800.0,2
2513901,3600.0,2
2514008,4200.0,1
2514701,1200.0,1
2515302,7353.0,5
2515401,6307.0,4
2515500,10653.0,4
2515708,4200.0,1
2515930,2400.0,1
2516003,5400.0,2
2516201,3000.0,3
2516607,10483.0,5
2516755,4200.0,1
2517209,4800.0,1
2600054,45654.0,27
2600104,6592.0,5
2600203,6420.0,2
2600302,2374.0,2
2600401,3763.0,2
2600500,631.0,1
2600609,3211.0,3
2600708,6600.0,2
2600807,11431.0,4
2601052,7200.0,2
2601102,9600.0,3
2601201,18000.0,4
2601409,3771.0,2
2601607,2400.0,1
2601706,14829.0,8
2601904,30634.0,12
2602001,1200.0,1
2602100,2700.0,3
2602209,1021.0,1
2602308,7191.0,4
2602407,5400.0,4
2602506,1800.0,1
2602704,2851.0,2
2602902,58681.0,29
2603009,7411.0,3
2603454,69516.0,36
2603504,632.0,1
2603603,3000.0,1
2603900,1200.0,1
2604007,14460.0,8
2604106,195236.0,82
2604155,3000.0,1
2604205,1620.0,1
2604304,3000.0,1
2604502,811.0,1
2604601,4200.0,1
2605103,2400.0,1
2605152,2400.0,1
2605202,3209.0,3
2605301,1670.0,1
2605608,2788.0,2
2605707,2400.0,2
2606002,47099.0,28
2606200,17539.0,9
2606408,25093.0,10
2606606,1200.0,1
2606804,31277.0,15
2607208,29513.0,14
2607604,14074.0,4
2607653,5431.0,4
2607752,7629.0,3
2607901,249977.0,150
2607950,3000.0,1
2608057,209.0,1
2608255,1200.0,1
2608305,2400.0,2
2608404,4200.0,1
2608503,971.0,1
2608701,1442.0,1
2608750,7022.0,3
2608800,2180.0,1
2608909,6420.0,5
2609154,3000.0,1
2609402,16479.0,12
2609501,3000.0,1
2609600,192633.0,84
2609709,4910.0,2
2609907,6172.0,2
2610004,6000.0,1
2610301,811.0,1
2610509,729.0,1
2610608,18300.0,9
2610707,138541.0,76
2610806,4606.0,2
2610905,19200.0,5
2611002,10800.0,3
2611101,261960.0,123
2611309,211.0,1
2611606,764649.0,397
2611705,9212.0,5
2611804,1200.0,1
2611903,1353.0,1
2612208,9213.0,5
2612307,121.0,1
2612406,3986.0,1
2612471,6463.0,2
2612505,21787.0,8
2612604,9558.0,4
2612802,6932.0,3
2612901,1200.0,1
2613008,28620.0,14
2613107,4109.0,3
2613206,4800.0,4
2613404,4200.0,2
2613602,6954.0,4
2613701,31205.0,22
2613909,21470.0,6
2614105,13923.0,4
2614204,7579.0,3
2614501,4018.0,3
2614857,9000.0,2
2615003,11425.0,9
2615201,2400.0,2
2615300,7792.0,6
2615508,9000.0,5
2615706,10200.0,3
2616100,300.0,1
2616308,52534.0,19
2616407,24772.0,10
2616506,6000.0,2
2700300,113903.0,48
2700409,1029.0,1
2701001,3470.0,2
2701506,632.0,1
2702207,4200.0,2
2702405,10670.0,3
2702603,3000.0,1
2702900,6000.0,2
2703106,11131.0,3
2703601,3000.0,1
2704203,12967.0,4
2704302,376121.0,163
2704401,4200.0,1
2704500,5400.0,3
2704708,6600.0,4
2704906,1200.0,1
2705002,1111.0,1
2705408,600.0,1
2705606,1200.0,1
2705705,10200.0,4
2705804,600.0,1
2706000,4653.0,2
2706307,5776.0,4
2706406,6860.0,4
2706448,1411.0,2
2706505,1070.0,1
2706703,2400.0,2
2706802,421.0,1
2707107,3000.0,1
2707206,1021.0,1
2707305,6000.0,2
2707701,12300.0,7
2707909,722.0,2
2708006,5400.0,2
2708501,8431.0,4
2708600,4200.0,3
2708907,2207.0,2
2708956,4200.0,1
2709152,14387.0,8
2709202,1200.0,1
2709301,9000.0,3
2709400,4411.0,2
2800308,289539.0,107
2800407,4200.0,1
2800506,6000.0,1
2800605,8074.0,3
2800704,3000.0,1
2801207,11400.0,4
2801306,12000.0,2
2801405,5400.0,2
2801504,16200.0,7
2801702,4800.0,2
2801900,1800.0,1
2802106,14100.0,5
2802304,1200.0,1
2802403,3000.0,1
2802601,1200.0,1
2802700,2400.0,2
2802908,6000.0,2
2803005,15511.0,7
2803203,4800.0,3
2803302,3953.0,2
2803401,1070.0,1
2803500,19118.0,6
2803609,5611.0,4
2804003,2270.0,1
2804508,4670.0,2
2804607,3511.0,2
2804805,91949.0,36
2804904,4081.0,2
2805000,2074.0,1
2805307,1200.0,1
2805703,14229.0,4
2805802,5043.0,6
2806008,5400.0,2
2806404,3300.0,1
2806701,33636.0,17
2806800,3000.0,1
2806909,2400.0,1
2807501,2270.0,1
2807600,6000.0,1
2900702,24511.0,10
2900801,3000.0,1
2901007,10200.0,3
2901106,9470.0,4
2901155,9300.0,3
2901205,9840.0,4
2901403,2400.0,1
2901502,6000.0,1
2901700,1701.0,2
2902005,2029.0,2
2902609,1200.0,1
2902708,3000.0,1
2902807,1670.0,1
2902906,1663.0,1
2903003,6000.0,2
2903201,9300.0,8
2903276,3000.0,1
2903508,2220.0,1
2903607,343.0,1
2903805,9000.0,2
2903904,4800.0,2
2904100,1800.0,1
2904605,15087.0,10
2904753,932.0,1
2904803,2400.0,1
2904902,6420.0,4
2905008,9600.0,4
2905156,5220.0,2
2905206,8400.0,4
2905305,6000.0,2
2905404,1200.0,1
2905503,9600.0,3
2905701,27918.0,14
2905800,811.0,1
2905909,2400.0,1
2906006,6000.0,1
2906204,6000.0,2
2906402,3600.0,1
2906501,9600.0,6
2906709,3463.0,2
2906808,3420.0,2
2906873,3000.0,1
2906899,1800.0,1
2907103,2294.0,2
2907202,2400.0,2
2907301,1200.0,1
2907509,5400.0,3
2907608,6000.0,2
2907905,1800.0,1
2908200,15933.0,5
2908309,3000.0,1
2908408,13321.0,6
2908507,16987.0,8
2908705,3000.0,1
2909000,1109.0,2
2909901,1028.0,1
2910057,17423.0,8
2910107,1800.0,1
2910404,3000.0,1
2910503,300.0,1
2910602,3000.0,1
2910701,3000.0,1
2910727,6000.0,2
2910800,265035.0,113
2911659,3000.0,1
2911709,24600.0,5
2911907,1670.0,1
2912707,3000.0,1
2912905,1200.0,2
2913200,1200.0,1
2913408,3000.0,1
2913606,17010.0,6
2913705,3000.0,1
2914000,14400.0,4
2914307,3000.0,1
2914406,3000.0,1
2914505,3000.0,1
2914604,17400.0,6
2914653,6000.0,1
2914703,8400.0,3
2914802,42470.0,14
2914901,3000.0,1
2915403,3300.0,1
2915502,1200.0,1
2915601,6000.0,2
2915809,632.0,1
2915908,1636.0,1
2916005,5400.0,2
2916104,931.0,1
2916401,22451.0,9
2916609,3000.0,1
2917102,5400.0,2
2917201,4200.0,2
2917409,4800.0,2
2917508,3347.0,2
2917607,7800.0,4
2918001,30600.0,11
2918209,1200.0,1
2918357,7200.0,3
2918407,53593.0,22
2918506,9000.0,3
2919207,63460.0,28
2919306,9000.0,2
2919504,5959.0,3
2919553,7531.0,4
2919702,4587.0,4
2919801,1200.0,1
2919926,4800.0,4
2920106,3000.0,1
2920502,6000.0,1
2920601,5822.0,2
2921005,10873.0,8
2921708,16588.0,6
2921906,1620.0,1
2922003,3000.0,1
2922052,6000.0,1
2922102,3000.0,1
2922300,1051.0,1
2922508,5400.0,2
2922755,3000.0,1
2922904,63146.0,18
2923001,7200.0,2
2923100,3000.0,1
2923209,2131.0,1
2923506,6600.0,2
2924009,4800.0,3
2924306,3000.0,1
2925006,3000.0,1
2925105,23722.0,7
2925204,1200.0,1
2925253,2131.0,1
2925303,23400.0,6
2925501,7200.0,2
2925600,22200.0,6
2925709,3000.0,1
2925758,3000.0,1
2925808,2311.0,1
2925956,4200.0,1
2926004,10670.0,3
2926509,4029.0,2
2927200,7800.0,2
2927309,3900.0,3
2927408,701098.0,331
2927507,7622.0,4
2927705,18000.0,3
2928000,10715.0,4
2928604,15422.0,6
2928703,25928.0,9
2928802,5609.0,3
2928950,3000.0,1
2929008,6000.0,1
2929107,3000.0,1
2929370,1800.0,1
2929503,9599.0,6
2929750,2011.0,2
2929909,3000.0,1
2930006,6461.0,2
2930105,4101.0,3
2930303,7200.0,3
2930402,300.0,1
2930501,17914.0,8
2930709,16151.0,7
2930774,6000.0,1
2930808,3000.0,1
2930907,470.0,1
2931004,5051.0,4
2931103,7200.0,2
2931350,34500.0,10
2931400,6811.0,2
2931509,600.0,1
2931806,632.0,1
2932002,13720.0,7
2932606,4200.0,1
2932705,600.0,1
2932804,6000.0,2
2932903,11359.0,7
2933000,1200.0,1
2933208,4621.0,4
2933307,164650.0,65
2933604,3000.0,1
3100203,1800.0,2
3100609,3000.0,1
3101102,3000.0,1
3101508,10149.0,6
3101607,11700.0,5
3101631,2400.0,1
3101706,1200.0,1
3101805,3000.0,1
3101904,6000.0,1
3102001,4800.0,2
3102506,1200.0,1
3102605,3000.0,1
3102803,8400.0,3
3102902,9000.0,2
3103405,3809.0,2
3103504,48305.0,29
3104007,12000.0,3
3104205,7629.0,2
3104304,1800.0,1
3104502,4588.0,3
3104908,10800.0,4
3105103,1547.0,2
3105608,41309.0,29
3105905,9300.0,5
3106002,1200.0,1
3106101,4200.0,1
3106200,1113203.0,462
3106309,7800.0,2
3106507,1800.0,1
3106655,1800.0,1
3106705,69217.0,27
3106903,6000.0,1
3107109,4200.0,1
3107307,14040.0,7
3107505,1200.0,1
3107802,1200.0,1
3108107,2700.0,1
3108206,2400.0,2
3108305,4200.0,2
3108404,2400.0,1
3108602,3300.0,1
3108909,6600.0,4
3109006,8400.0,4
3109105,3600.0,1
3109204,2400.0,1
3109709,1800.0,1
3109907,1200.0,1
3110004,2400.0,1
3110202,600.0,1
3110608,9000.0,4
3110707,6000.0,5
3110905,6600.0,5
3111309,5400.0,3
3111507,9300.0,3
3111606,2229.0,1
3111804,3000.0,1
3111903,1200.0,1
3112109,4159.0,1
3112505,2829.0,2
3112653,3000.0,1
3112703,3000.0,1
3113206,1800.0,1
3113305,13434.0,3
3113404,22800.0,6
3113701,3600.0,2
3114105,3000.0,1
3114204,9000.0,2
3115102,1200.0,1
3115201,1200.0,1
3115300,2400.0,1
3115409,3600.0,2
3115458,1200.0,1
3115508,9600.0,4
3115805,1800.0,1
3115904,2400.0,2
3116100,1800.0,1
