"Munic�pio";"Popula��o_residente"
"170389 CARRASCO BONITO";4095
"170390 CASEARA";5369
"170410 CENTENARIO";2905
"170460 CHAPADA DE AREIA";1406
"170510 CHAPADA DA NATIVIDADE";3333
"170550 COLINAS DO TOCANTINS";35424
"170555 COMBINADO";4852
"170560 CONCEICAO DO TOCANTINS";4105
"170600 COUTO MAGALHAES";5588
"170610 CRISTALANDIA";7289
"170625 CRIXAS DO TOCANTINS";1722
"170650 DARCINOPOLIS";6097
"170700 DIANOPOLIS";22139
"170710 DIVINOPOLIS DO TOCANTINS";6900
"170720 DOIS IRMAOS DO TOCANTINS";7198
"170730 DUERE";4686
"170740 ESPERANTINA";10996
"170755 FATIMA";3835
"170765 FIGUEIROPOLIS";5263
"170770 FILADELFIA";8856
"170820 FORMOSO DO ARAGUAIA";18440
"170825 FORTALEZA DO TABOCAO";2589
"170830 GOIANORTE";5123
"170900 GOIATINS";13019
"170930 GUARAI";25923
"170950 GURUPI";86647
"170980 IPUEIRAS";2015
"171050 ITACAJA";7433
"171070 ITAGUATINS";5864
"171090 ITAPIRATINS";3777
"171110 ITAPORA DO TOCANTINS";2427
"171150 JAU DO TOCANTINS";3849
"171180 JUARINA";2193
"171190 LAGOA DA CONFUSAO";13357
"171195 LAGOA DO TOCANTINS";4316
"171200 LAJEADO";3134
"171215 LAVANDEIRA";1923
"171240 LIZARDA";3740
"171245 LUZINOPOLIS";3108
"171250 MARIANOPOLIS DO TOCANTINS";5175
"171270 MATEIROS";2684
"171280 MAURILANDIA DO TOCANTINS";3426
"171320 MIRACEMA DO TOCANTINS";18248
"171330 MIRANORTE";13434
"171360 MONTE DO CARMO";7947
"171370 MONTE SANTO DO TOCANTINS";2279
"171380 PALMEIRAS DO TOCANTINS";6658
"171395 MURICILANDIA";3551
"171420 NATIVIDADE";9244
"171430 NAZARE";3898
"171488 NOVA OLINDA";11819
"171500 NOVA ROSALANDIA";4260
"171510 NOVO ACORDO";4342
"171515 NOVO ALEGRE";2332
"171525 NOVO JARDIM";2722
"171550 OLIVEIRA DE FATIMA";1112
"171570 PALMEIRANTE";6026
"171575 PALMEIROPOLIS";7659
"171610 PARAISO DO TOCANTINS";51252
"171620 PARANA";10449
"171630 PAU D'ARCO";4849
"171650 PEDRO AFONSO";13578
"171660 PEIXE";11749
"171665 PEQUIZEIRO";5477
"171670 COLMEIA";8205
